num_of_samples,random_num,cas_number,pred_value,real_value,error_value
10,0,2136-99-4,-8.66180749177,-4.5,4.16180749177
10,1,128-62-1,-5.85808928219,-5.0,0.858089282186
10,2,36653-82-4,-7.80450287249,-6.6,1.20450287249
10,3,52663-62-4,-7.03279877642,-4.8,2.23279877642
10,4,60-89-9,-8.42799687087,-8.7,0.272003129131
10,5,97-59-6,-5.22319430112,-6.1,0.876805698875
10,6,542-69-8,-6.57013754522,-4.1,2.47013754522
10,7,122-39-4,-5.64400104483,-9.0,3.35599895517
10,8,541-33-3,-5.67633360141,-4.2,1.47633360141
10,9,50-32-8,-6.33000000009,-7.0,0.669999999914
10,10,68-94-0,-8.65145037789,-5.8,2.85145037789
10,11,544-63-8,-7.77412038766,-6.6,1.17412038766
10,12,1918-02-1,-5.67461628826,-5.6,0.0746162882631
10,13,111-25-1,-5.3797774873,-4.7,0.679777487305
10,14,80-62-6,-7.7117487784,-4.8,2.9117487784
10,15,119-91-5,-5.80202512963,10.1,15.9020251296
10,16,2303-16-4,-6.11000000121,-5.7,0.410000001215
10,17,60168-88-9,-7.12848759395,-9.3,2.17151240605
10,18,95-16-9,-8.83222870241,-6.5,2.33222870241
10,19,33284-53-6,-8.949565287,-6.8,2.149565287
10,20,35065-28-2,-6.82814785775,-5.8,1.02814785775
10,21,2315-68-6,-7.40977033069,-7.5,0.0902296693145
10,22,5392-40-5,-6.82522633199,-7.0,0.17477366801
10,23,88-99-3,-7.8441382017,-6.9,0.944138201702
10,24,52663-62-4,-6.9708065675,-4.8,2.1708065675
10,25,121-34-6,-8.46363707704,-6.4,2.06363707704
10,26,108-43-0,-6.67240322174,-6.0,0.672403221742
10,27,4282-40-0,-6.64338637126,-5.1,1.54338637126
10,28,110-12-3,-8.15963800579,-5.1,3.05963800579
10,29,28911-01-5,-7.92757488795,-5.4,2.52757488795
10,30,16529-66-1,-6.43913865736,-4.7,1.73913865736
10,31,7286-84-2,-5.83627089981,-6.6,0.763729100187
10,32,102-82-9,-8.04103969191,-6.2,1.84103969191
10,33,99-24-1,-6.57857150693,-6.4,0.178571506931
10,34,538-32-9,-8.3964338506,-7.3,1.0964338506
10,35,102-76-1,-6.88984070639,-6.4,0.489840706392
10,36,57-43-2,-5.680952779,-7.7,2.019047221
10,37,58-39-9,-5.69033370641,-8.9,3.20966629359
10,38,88-67-5,-7.97353112403,-6.8,1.17353112403
10,39,580-16-5,-6.58336602424,-7.4,0.816633975764
10,40,2642-98-0,-5.43000047616,-6.2,0.76999952384
10,41,76-01-7,-5.16065903271,-4.5,0.660659032713
10,42,26002-80-2,-7.6856625572,-9.3,1.6143374428
10,43,110-12-3,-7.02005405849,-5.1,1.92005405849
10,44,1177-87-3,-6.59992155877,-5.1,1.49992155877
10,45,351-83-7,-7.33603123357,-6.8,0.536031233569
10,46,75-50-3,-6.47023110397,-2.3,4.17023110397
10,47,33146-45-1,-7.86913627152,-6.1,1.76913627152
10,48,16878-76-5,-7.71880510956,-5.6,2.11880510956
10,49,87-72-9,-7.99885767923,-5.1,2.89885767923
20,0,86-87-3,-8.35517886748,-9.1,0.744821132516
20,1,52-31-3,-5.62061449134,-8.9,3.27938550866
20,2,98-86-2,-7.50599383592,-6.8,0.705993835916
20,3,36653-82-4,-6.96760532706,-6.6,0.367605327059
20,4,34123-59-6,-8.27598115887,-6.7,1.57598115887
20,5,117-81-7,-7.01630418938,-8.0,0.983695810617
20,6,75-50-3,-5.58075201093,-2.3,3.28075201093
20,7,79-57-2,-8.24297408584,-4.6,3.64297408584
20,8,2136-99-4,-6.02501886402,-4.5,1.52501886402
20,9,51-21-8,-6.63762411691,-5.5,1.13762411691
20,10,618-51-9,-7.89335546012,-6.3,1.59335546012
20,11,2051-61-8,-7.37682053561,-7.7,0.323179464391
20,12,70-69-9,-8.46611079971,-7.0,1.46611079971
20,13,74-88-4,-8.38861060341,-1.9,6.48861060341
20,14,108-38-3,-8.94342893145,-6.1,2.84342893145
20,15,120-83-2,-6.06908016379,-6.0,0.0690801637944
20,16,83-07-8,-5.73,-6.6,0.87
20,17,79-31-2,-6.76200039189,-4.6,2.16200039189
20,18,15299-99-7,-6.2325802822,-8.2,1.9674197178
20,19,13110-37-7,-5.355,-8.1,2.745
20,20,2432-99-7,-6.846994312,-6.2,0.646994312002
20,21,60-87-7,-8.85815919168,-8.2,0.658159191683
20,22,3813-05-6,-9.28180607234,-6.1,3.18180607234
20,23,2460-49-3,-7.06132501391,-6.0,1.06132501391
20,24,15310-01-7,-6.33908001638,-8.2,1.86091998362
20,25,87-20-7,-6.84355630361,-8.0,1.15644369639
20,26,103-69-5,-6.78002871416,-6.4,0.380028714162
20,27,68-96-2,-5.82721281202,-5.6,0.227212812024
20,28,32598-11-1,-8.02506323677,-7.3,0.725063236767
20,29,5836-10-2,-6.68062151649,-8.6,1.91937848351
20,30,13476-55-6,-6.58042559659,-8.0,1.41957440341
20,31,618-51-9,-8.22530706669,-6.3,1.92530706669
20,32,123-51-3,-8.5044031504,-4.4,4.1044031504
20,33,364-62-5,-6.58681280354,-6.9,0.313187196459
20,34,91-75-8,-7.81242504997,-9.4,1.58757495003
20,35,3248-05-3,-7.07160471402,-6.4,0.671604714023
20,36,28299-41-4,-7.52073150736,-7.9,0.37926849264
20,37,461-58-5,-7.75055861707,-4.2,3.55055861707
20,38,36653-82-4,-6.60982253152,-6.6,0.0098225315242
20,39,110-86-1,-6.08989477606,-4.7,1.38989477606
20,40,684-93-5,-8.28214969464,-4.4,3.88214969464
20,41,86-74-8,-7.14674587838,-7.3,0.15325412162
20,42,21725-46-2,-6.59914664442,-7.3,0.70085335558
20,43,142-92-7,-5.29564982909,-5.7,0.404350170905
20,44,15310-01-7,-6.47000000056,-8.2,1.72999999944
20,45,77-47-4,-6.43946364379,-5.4,1.03946364379
20,46,52704-70-8,-7.03172197448,-4.7,2.33172197448
20,47,217-59-4,-6.49000134859,-8.5,2.00999865141
20,48,51-98-9,-6.81679594069,-6.3,0.516795940685
20,49,129-00-0,-6.64173441089,-7.5,0.858265589107
30,0,544-25-2,-9.58625094532,-6.0,3.58625094532
30,1,57-43-2,-6.55989720379,-7.7,1.14010279621
30,2,105-37-3,-7.76203150356,-4.6,3.16203150356
30,3,96-14-0,-7.22438502313,-4.5,2.72438502313
30,4,598-75-4,-6.08588882545,-4.5,1.58588882545
30,5,100-52-7,-7.99710918353,-6.1,1.89710918353
30,6,475-25-2,-9.4055605745,-6.8,2.6055605745
30,7,538-32-9,-6.93058112336,-7.3,0.369418876641
30,8,608-93-5,-8.30726427878,-5.5,2.80726427878
30,9,38380-02-8,-8.04464883214,-6.4,1.64464883214
30,10,36330-85-5,-8.94543158915,-8.3,0.645431589153
30,11,137-26-8,-6.69111779208,-4.1,2.59111779208
30,12,51940-44-4,-7.95685781101,-7.8,0.156857811012
30,13,66-02-4,-7.45167861476,-6.6,0.851678614762
30,14,51940-44-4,-6.60177514027,-7.8,1.19822485973
30,15,60-87-7,-7.36333088287,-8.2,0.836669117129
30,16,217-59-4,-6.78965292886,-8.5,1.71034707114
30,17,32598-11-1,-7.86230315724,-7.3,0.562303157236
30,18,38380-02-8,-7.2997004756,-6.4,0.899700475603
30,19,120-36-5,-9.17951065129,-7.2,1.97951065129
30,20,51-21-8,-6.19310589416,-5.5,0.693105894155
30,21,111-86-4,-7.26573498849,-5.3,1.96573498849
30,22,591-07-1,-6.3417497152,-4.8,1.5417497152
30,23,1918-16-7,-7.51429238534,-6.1,1.41429238534
30,24,122-88-3,-7.37807514996,-6.5,0.878075149955
30,25,495-69-2,-8.18328183785,-7.4,0.783281837845
30,26,97-59-6,-6.73776063559,-6.1,0.63776063559
30,27,120-80-9,-8.66881892706,-5.8,2.86881892706
30,28,624-24-8,-7.02837150216,-5.1,1.92837150216
30,29,112-05-0,-9.58350539887,-6.1,3.48350539887
30,30,78-77-3,-8.74317456989,-3.7,5.04317456989
30,31,352-34-1,-9.85124215074,-5.8,4.05124215074
30,32,15299-99-7,-6.03518056812,-8.2,2.16481943188
30,33,57-43-2,-7.49311521161,-7.7,0.206884788393
30,34,3424-82-6,-7.39057016049,-7.2,0.190570160493
30,35,57-13-6,-7.8083252801,-3.5,4.3083252801
30,36,58-39-9,-5.92965888097,-8.9,2.97034111903
30,37,142-92-7,-6.77841001832,-5.7,1.07841001832
30,38,5836-10-2,-6.13216956937,-8.6,2.46783043063
30,39,72-48-0,-7.73988417546,-7.4,0.339884175458
30,40,110-74-7,-9.57302567287,-4.1,5.47302567287
30,41,4516-69-2,-7.0535587114,-5.6,1.4535587114
30,42,461-58-5,-7.25330037459,-4.2,3.05330037459
30,43,357-57-3,-6.25295765897,-5.8,0.452957658967
30,44,1125-78-6,-7.9286211711,-7.8,0.128621171101
30,45,79-34-5,-7.06432928826,-4.0,3.06432928826
30,46,50-32-8,-7.38084588738,-7.0,0.380845887385
30,47,137-26-8,-6.19159298275,-4.1,2.09159298275
30,48,50-24-8,-6.33354097582,-5.1,1.23354097582
30,49,62-56-6,-8.36339600931,-2.8,5.56339600931
40,0,50-71-5,-5.88307948769,-5.7,0.183079487691
40,1,60-89-9,-7.40871031962,-8.7,1.29128968038
40,2,60-12-8,-6.377561623,-6.4,0.0224383769974
40,3,15310-01-7,-6.50362025333,-8.2,1.69637974667
40,4,65-71-4,-6.95375328355,-6.0,0.953753283553
40,5,79-34-5,-7.01017943506,-4.0,3.01017943506
40,6,1540-35-8,-8.79398595041,-5.6,3.19398595041
40,7,76-14-2,-7.91052819069,-5.2,2.71052819069
40,8,691-37-2,-9.08129880641,-4.4,4.68129880641
40,9,103-36-6,-8.74175838875,-7.3,1.44175838875
40,10,52-31-3,-6.34821917779,-8.9,2.55178082221
40,11,583-53-9,-5.86442777527,-6.1,0.235572224731
40,12,581-42-0,-6.381758477,-7.3,0.918241523005
