num_of_samples,random_num,cas_number,pred_value,real_value,error_value
10,0,104-75-6,-5.59019203006,-5.3,0.290192030056
10,1,738-70-5,-7.20429411845,-6.9,0.304294118452
10,2,537-47-3,-8.8476353583,-7.1,1.7476353583
10,3,50-71-5,-5.98355664653,-5.7,0.283556646528
10,4,50-48-6,-7.62521902015,10.6,18.2252190201
10,5,105-66-8,-5.85016092184,-5.6,0.250160921836
10,6,60-89-9,-5.15,-8.7,3.55
10,7,2050-68-2,-7.01532532649,-7.0,0.0153253264949
10,8,60-87-7,-6.21363909007,-8.2,1.98636090993
10,9,38444-93-8,-7.83593234544,-5.7,2.13593234544
10,10,5989-27-5,-6.15769112421,-6.5,0.342308875792
10,11,133-90-4,-8.64087612876,-6.7,1.94087612876
10,12,106-55-8,-6.18151732773,-5.0,1.18151732773
10,13,57-53-4,-6.70512852503,-6.3,0.405128525027
10,14,615-77-0,-5.41,-5.6,0.19
10,15,622-50-4,-6.34709799413,-5.9,0.447097994133
10,16,759-73-9,-6.19515500874,-4.8,1.39515500874
10,17,357-57-3,-7.83674714008,-5.8,2.03674714008
10,18,591-78-6,-6.11828918816,-5.0,1.11828918816
10,19,589-55-9,-6.25000418138,-5.2,1.05000418138
10,20,37764-25-3,-5.71016517613,-5.8,0.0898348238687
10,21,541-33-3,-5.99584401264,-4.2,1.79584401264
10,22,84-65-1,-7.67442679458,-6.9,0.774426794584
10,23,50-32-8,-6.60829144245,-7.0,0.391708557547
10,24,514-10-3,-7.8273879308,-5.5,2.3273879308
10,25,2207-01-4,-5.23000007281,-6.0,0.769999927191
10,26,111-44-4,-7.87889972335,-4.1,3.77889972335
10,27,110-02-1,-5.72000010269,-4.0,1.72000010269
10,28,357-57-3,-5.27000000039,-5.8,0.529999999615
10,29,95-14-7,-8.06265008221,-6.8,1.26265008221
10,30,141-84-4,-6.21704397828,-4.2,2.01704397828
10,31,481-37-8,-6.11,-6.4,0.29
10,32,77-28-1,-7.03831425953,-6.9,0.138314259526
10,33,1918-16-7,-6.21424913504,-6.1,0.114249135042
10,34,123-11-5,-6.0654827476,-6.1,0.0345172523959
10,35,51940-44-4,-8.51423760997,-7.8,0.714237609966
10,36,18181-80-1,-7.41537752582,-7.1,0.315377525816
10,37,91-75-8,-8.57678568444,-9.4,0.82321431556
10,38,7287-19-6,-7.36189598501,-6.9,0.461895985012
10,39,957-51-7,-7.30459753913,-9.4,2.09540246087
